ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,marked choice,Total,Legend
1,First Afghan War took place in,1839,1848,1843,1833,1,5,-1,n,1,2.0,Correct Choices
2,Guwahati High Court is the judicature of,Assam,Nagaland,Arunachal Pradesh,All of above,4,5,-1,y,1,8.0,Wrong Choices
3,Friction can be reduced by changing from,rolling to sliding,sliding to rolling,dynamic to static,potential to kinetic energy,2,5,-1,y,1,0.0,Unattempted
4,First China War was fought between China and __,Egypt,Greek,Britain,France,3,5,-1,n,1,2.0,Marks Obtained
5,Golf player Vijay Singh belongs to which country?,India,Fiji,UK,USA,2,5,-1,n,1,50.0,Total Quiz Marks
6,Epsom (England) is the place associated with,Shooting,Horse racing,Polo,Snooker,2,5,-1,y,1,,
7,Garampani sanctuary is located at,Gangtok,Kohima,Diphu,Junagarh,3,5,-1,y,1,,
8,"During World War II, when did Germany attack France?",1940,1941,1942,1943,1,5,-1,y,1,,
9,Which is the religion for which the Fire temple is the place of worship?,Hinduism,Jainism,Zoroastrianism,Buddhism,3,5,-1,n,1,,
10,Where can Coral reefs be found in India?,The Malabar Coast,Rameshwaram,Trivandrum,Mahabalipuram,2,5,-1,y,1,,
