ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,time=30m
1,FFC stands for,Federation of Football Council,Film Finance Corporation,Foreign Finance Corporation,None of the above,2,10,0,n
2,Friction can be reduced by changing from,rolling to sliding,sliding to rolling,dynamic to static,potential energy to kinetic energy,2,7,-2,y
3,Which one of the following river flows between Vindhyan and Satpura ranges?,Narmada,Mahanadi,Son,Netravati,1,5,-1,y
4,The Central Rice Research Station is situated in?,Chennai,Cuttack,Bangalore,Quilon,2,6,-1,n
5,The metal whose salts are sensitive to light is?,Zinc,Silver,Copper,Aluminum,2,8,-2,y
6,Patanjali is well known for the compilation of,Yoga Sutra,Panchatantra,Brahma Sutra,Ayurveda,1,10,-2,y
7,The country that has the highest in Barley Production?,China,India,Russia,France,3,8,-2,n
8,Tsunamis are not caused by,Hurricanes,Earthquakes,Undersea landslides,Volcanic eruptions,1,6,-1,y
9,Chambal river is a part of,Sabarmati basin,Ganga basin,Narmada basin,Godavari basin,3,8,-1,n
10,The hottest planet in the solar system?,Mercury,Venus,Mars,Jupiter,2,6,-1,y
